PAYER_ID,NAME,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS,SYNTHEA_CITY
1000000,Medicare,23970274422.24,1743702849.19,2718479175.3,12115134,0,128452,0.6791897742657729,16595232,CLEVELAND
1000001,Medicaid,101876331040.24,3130376268.22,1069758300.0,37187314,0,273309,0.896572808195732,108916092,CLEVELAND
1000002,Dual Eligible,20624591128.69,499013804.5,113600450.0,8621186,0,77870,0.6596759225588572,11828484,CLEVELAND
1000003,Humana,4865551134.55,2891750989.24,2707537050.0,2698916,0,23593,0.9263685213318964,7996716,CLEVELAND
1000004,Blue Cross Blue Shield,5593456020.4,1035437186.83,2902857630.0,1106932,0,103559,0.2109373197548757,13455564,CLEVELAND
1000005,UnitedHealthcare,2203407559.94,584627142.42,1384350061.0,1004423,0,13594,0.9014880220954608,2806200,CLEVELAND
1000006,Aetna,7081140589.62,4237802933.39,1010131174.29,4147935,0,97464,0.8594086142046456,10588836,CLEVELAND
1000007,Anthem,5252928190.33,1411090747.63,1214964475.43,2564098,0,79937,0.8489153582674261,6352428,CLEVELAND
1000008,NO_INSURANCE,0.0,50411591940.28,0.0,0,17644573,133552,0.9847182319260356,49475736,CLEVELAND
1000009,Dual Eligible,453340470.63,3607127.39,1859530.0,83213,0,2474,0.7884642402855935,190440,AUSTIN
1000010,UnitedHealthcare,2050104327.31,484141345.32,1082284477.0,676151,0,9316,0.9250476052146308,2193060,AUSTIN
1000011,Aetna,2684279659.1,1828424452.91,338775280.56,1334166,0,41615,0.8485603683077934,4500552,AUSTIN
1000012,Anthem,3030791731.98,795810202.98,434660266.21,1098467,0,38360,0.8432369474226452,3486972,AUSTIN
1000013,NO_INSURANCE,0.0,17581568721.18,0.0,0,4544829,45458,1.0108136418953226,14283660,AUSTIN
1000014,Medicaid,11001894751.68,280196502.38,96937110.0,3439434,0,37757,0.9176043798253914,9866952,BOSTON
1000015,Dual Eligible,1644664607.81,33190006.21,8576330.0,598257,0,6786,0.7052965634940424,893556,BOSTON
1000016,Humana,3114910864.48,1788545914.17,1675316412.0,1576526,0,13649,0.9432586877331216,4952136,BOSTON
1000017,Aetna,986782353.74,610392591.84,192211817.1,527064,0,14806,0.9184995023859126,1654272,BOSTON
1000018,Cigna Health,1079304860.75,545963941.44,247108411.81,549475,0,14889,0.9172735839207922,1682568,BOSTON
1000019,Anthem,871924174.12,216602267.66,244814572.27,348917,0,12863,0.8954265417961785,1008684,BOSTON
1000020,NO_INSURANCE,0.0,7086148237.52,0.0,0,2532827,28611,0.985270397823368,8837112,BOSTON
